               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.016094,           0.0028417,           0.0041175,             0.94611,             0.97995,             0.99138,             0.86553,             0.01683,           0.0022425,           0.0029615,           0.0093268,           0.0093268,           0.0093268
                  36,            0.015411,           0.0027688,           0.0038859,             0.99625,             0.99214,               0.995,              0.8785,            0.016386,           0.0020736,           0.0031247,            0.009307,            0.009307,            0.009307
                  37,             0.01508,           0.0027431,           0.0037959,             0.99266,                   1,               0.995,             0.86212,            0.016774,           0.0021529,           0.0030737,           0.0092872,           0.0092872,           0.0092872
                  38,            0.017112,           0.0027737,           0.0043927,             0.99585,             0.99919,             0.99494,             0.88844,            0.011203,           0.0020758,           0.0026632,           0.0092674,           0.0092674,           0.0092674
                  39,            0.014528,           0.0025921,            0.003883,             0.99743,             0.99908,               0.995,             0.88648,            0.013634,            0.002128,           0.0026472,           0.0092476,           0.0092476,           0.0092476
                  40,            0.017251,           0.0027359,           0.0033872,             0.99692,                   1,               0.995,             0.89781,            0.013716,            0.002059,           0.0026422,           0.0092278,           0.0092278,           0.0092278
                  41,            0.015423,           0.0027552,            0.003854,             0.99581,                   1,               0.995,             0.91162,           0.0090928,           0.0020552,           0.0029449,            0.009208,            0.009208,            0.009208
                  42,             0.01371,           0.0026754,           0.0033992,             0.98052,             0.99526,             0.99498,             0.85444,            0.016935,           0.0021941,           0.0025805,           0.0091882,           0.0091882,           0.0091882
                  43,             0.01577,           0.0027722,           0.0031435,             0.93938,             0.98989,             0.99462,             0.88452,             0.01121,            0.002142,           0.0025943,           0.0091684,           0.0091684,           0.0091684
                  44,             0.01475,           0.0026498,           0.0032664,             0.99765,             0.99872,               0.995,             0.92398,            0.011167,           0.0020957,           0.0025485,           0.0091486,           0.0091486,           0.0091486
                  45,             0.01379,           0.0025437,            0.004551,             0.99547,             0.99533,               0.995,             0.92754,            0.010363,           0.0020312,           0.0027751,           0.0091288,           0.0091288,           0.0091288
                  46,            0.016691,           0.0026555,           0.0036916,             0.99823,                   1,               0.995,             0.91189,           0.0098837,            0.001962,           0.0023736,            0.009109,            0.009109,            0.009109
